HW;Vyrobce;Model;Rok;CMD;NKP;Zapojeni
820;Skoda;KAMIQ (NW4) 07/19-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;KAROQ (NU7)07/17-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;KODIAQ (NS7)10/16-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;KODIAQ II 2024;192;CN805;CAN2={192,0,120,1801};
820;Skoda;KODIAQ II EV 2024+;203;CN911;CAN2={203,0,120};‹teme z EL parametró pouze dojezd na EV pohon. 
820;Skoda;OCTAVIA 04/59-10/71;16;CN878;CAN2={16,0,120};
820;Skoda;OCTAVIA I (1U2)09/96-12/10;16;CN878;CAN2={16,0,120};
820;Skoda;OCTAVIA I combi (1U5)07/98-12/10;16;CN878;CAN2={16,0,120};
820;Skoda;OCTAVIA II (1Z3)02/04-06/13;16;CN878;CAN2={16,0,120};
820;Skoda;OCTAVIA II combi (1Z5)02/04-06/13;16;CN878;CAN2={16,0,120};
820;Skoda;OCTAVIA III (5E3, NL3, NR3)11/12-01/20;192;CN805;CAN2={192,0,120,1801};
820;Skoda;OCTAVIA III combi (5E5)11/12-01/20;192;CN805;CAN2={192,0,120,1801};
820;Skoda;OCTAVIA IV (NX3) 01/20-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;OCTAVIA IV combi (NX5) 11/19-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;OCTAVIA IV combi CNG;192;CN805;CAN2={192,0,120,1801};
820;Skoda;OCTAVIA IV hybrid  2020;192;CN805;CAN2={192,0,120,1801};
820;Skoda;OCTAVIA IV FACELIFT 2024/2025;192;CN805;CAN2={192,0,120,1801};
820;Skoda;RAPID (120G, 130G, 135G)02/83-10/91;192;CN805;CAN2={192,0,120,1801};
820;Skoda;RAPID (NH3)07/12-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;RAPID Spaceback (NH1)07/12-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;ROOMSTER (5J)03/06-05/15;16;CN878;CAN2={16,0,120};
820;Skoda;ROOMSTER Praktik (5J)03/07-05/15;16;CN878;CAN2={16,0,120};
820;Skoda;SCALA02/19-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;SUPERB I (3U4)12/01-03/08;16;CN878;CAN2={16,0,120};
820;Skoda;SUPERB II (3T4)03/08-05/15;192;CN805;CAN2={192,0,120,1801};
820;Skoda;SUPERB II combi (3T5)10/09-05/15;192;CN805;CAN2={192,0,120,1801};
820;Skoda;SUPERB III (3V3)03/15-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;SUPERB III combi (3V5)03/15-;192;CN805;CAN2={192,0,120,1801};
820;Skoda;SUPERB IV combi 2024+;192;CN805;CAN2={192,0,120,1801};
820;Skoda;SUPERB IV EV 2024+ (ve vùvoji);;;;
820;Skoda;YETI (5L)05/09-12/17;192;CN805;CAN2={192,0,120,1801};
820;Takeuchi;Takeuchi;520;CN882;CAN2={520,0,120};
820;Tesla;Tesla X 2020;800;CN883;CAN2={800,0,120};
820;Toyota;TOYOTA;96;CN884;CAN2={96,0,120,0};
820;Toyota;Toyota Auris;97;CN885;CAN2={97,0,120};
820;Toyota;Toyota Hilux 2021;100;CN886;CAN2={97,0,120}/CAN2={100,0,120};
820;Toyota;Toyota C-HR HYBRID;99;CN887;CAN2={99,0,120};
820;Toyota;Toyota Corolla Hybrid;99;CN887;CAN2={99,0,120};
820;Toyota;Tyouta ProAce City 2024+;225/228;CN813;CAN2={228,0,120};
820;Toyota;Toyota ProAce 2019+;225/228 ;CN813;CAN2={228,0,120};
820;Toyota;Toyota ProAce Verso 2016+;228;CN813;CAN2={228,0,120};
820;Toyota;Toyota Proace Max ;81/82/83/243;CN863;CAN2={225,0,120}/CAN2={243,0,120};
820;Toyota;Toyota V2;98;CN888;CAN2={98,0,120};
820;Volvo;Volvo S60 hybrid 2021;644;CN889;CAN2={644,0,120};
820;Volvo;Volvo Truck od 2013, primarni CAN 250k, sekundarni 500k;7;CN894;"CAN1={0,0,120};CAN2={7,0,120}";pÞipojen’ na 2 CANy: prim‡rn’ CAN 250k + sekund‡rn’ CAN 500k
820;Volvo;Volvo V60 hybrid 2019;642;CN890;CAN2={642,0,120};
820;Volvo;Volvo XC90 2013;640;CN891;CAN2={640,0,120};
820;Volvo;Volvo XC90 2015+;641;CN892;CAN2={641,0,120};
820;Volvo;Volvo XC90 2020+;643;CN893;CAN2={643,0,120};
820;Volvo;Volvo XC90 2020+;645/646/647/648;CN912;CAN2={645,0,120};
820;VW;AMAROK 2023 - 2025+ (Ford Ranger);143;CN907;CAN2={143,0,120};
820;VW;AMAROK (2HA, 2HB, S1B, S6B, S7A, S7B)09/10/14/17+  (Ford Ranger);135;CN827;CAN2={135,0,120};
820;VW;CADDY ALLTRACK combi (SAB)05/15-01/20;16;CN878;CAN2={16,0,120};
820;VW;CADDY ALLTRACK karoserie (SAA)05/15-01/20;16;CN878;CAN2={16,0,120};
820;VW;CADDY III combi (2KB, 2KJ, 2CB, 2CJ)03/04-05/15;16;CN878;CAN2={16,0,120};
820;VW;CADDY III combi CNG (2KB, 2KJ, 2CB, 2CJ)03/04-05/15;18;CN879;CAN2={18,0,120};
820;VW;CADDY III karoserie (2KA, 2KH, 2CA, 2CH)03/04-05/15;16;CN878;CAN2={16,0,120};
820;VW;CADDY IV combi (SAB, SAJ)05/15-;16;CN878;CAN2={16,0,120};
820;VW;CADDY IV combi CNG (SAB, SAJ)05/15- 01/20;18;CN879;CAN2={18,0,120};
820;VW;CADDY IV karoserie (SAA, SAH)05/15-;16;CN878;CAN2={16,0,120};
820;VW;CADDY V combi  11/20-;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;CADDY V combi CNG  11/20- ;199;CN880;CAN2={193,0,120} / CAN2={199,0,120};
820;VW;CADDY V karoserie  11/20-;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;CADDY V MPV  11/20-;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;CRAFTER 30-35 autobus (2E_)04/06-12/16;192 / 1192;CN805;CAN2={48,0,120}/CAN2={192,0,120,1801};
820;VW;CRAFTER 30-50 karoserie (2E_)04/06-12/16;192 / 1192;CN805;CAN2={48,0,120}/CAN2={192,0,120,1801};
820;VW;CRAFTER 30-50 valn’k/podvozek (2F_)04/06-12/16;192 / 1192;CN805;CAN2={48,0,120}/CAN2={192,0,120,1801};
820;VW;CRAFTER autobus (SY_)09/16-;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;CRAFTER karoserie (SY_, SX_)09/16-;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;CRAFTER valn’k/podvozek (SZ_)11/16-2023+;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;GOLF VIII (CD1) 07/19-;192;CN805;CAN2={192,0,120,1801};
820;VW;GOLF VIII Variant (CG5) 08/20-;192;CN805;CAN2={192,0,120,1801};
820;VW;ID.3 (E11_) 11/19-+;202;CN877;CAN2={202,0,120};
820;VW;ID.4 (E21) 05/20-+;202;CN877;CAN2={202,0,120};
820;VW;ID.7 2025+ ;202;CN877;CAN2={202,0,120};
820;VW;POLO (AW1, BZ1) 06/17+;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;MULTIVAN 2025+ (ve vùvoji) PlugIn Hybrid;;;;Za gatwai
820;VW;TRANSPORTER VI autobus (SGB, SGG, SGJ) 04/15-;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;TRANSPORTER VI karoserie (SGA, SGH) 04/15- 2023+;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;TRANSPORTER VI valn’k/podvozek (SFD, SFE, SFL, SFZ) 04/15- 2023+;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;TRANSPORTER VII 2025+ (ve vùvoji);;;;Ford 142 - Br‡t CANy jen s pÞ’znakem +15
820;VW;TRANSPORTER VII EV 2025+ (ve vùvoji);;;;
820;VW;VW OLD BEFORE MQB;16;CN878;CAN2={16,0,120};MQB VW PLATFORM (VW,SKODA,SEAT,AUDI,etcÉ)
820;VW;VW OLD BEFORE MQB;17;CN876;CAN2={17,0,120};
820;VW;VW CNG OLD BEFORE MQB;18;CN879;CAN2={18,0,120};
820;VW;VW crafter <2016 / Mercedes Sprinter OLD;48,49,50,51;CN853;CAN2={51,0,120};
820;VW;VW Egolf;195/ 1195;CN895;CAN2={195,0,120};
820;VW;VW Egolf 2019;197/ 1197;CN896;CAN2={197,0,120};
820;VW;VW ID3;202 / 1202;CN877;CAN2={202,0,120};
820;VW;VW MQB;192 / 1192;CN805;CAN2={192,0,120,1801};
820;VW;VW MQB CNG;193 / 1193;CN897;CAN2={193,0,120};
820;VW;VW MQB CNG;199/ 1199;CN880;CAN2={199,0,120};
820;VW;VW MQB Hybrid;201 /1201;CN898;CAN2={201,0,120};
820;VW;VW MQB LPG;200/ 1200;CN899;CAN2={200,0,120};
